CV1 CV2 aepbe0 electron_affinity polarizability_pbe C O N S Cl H
-3.81473e-01 -6.24022e-01 -4.2093375e+02 -3.9861300e+00 2.5345760e+00 1 0 0 0 0 4
-1.11224e-01 -5.77706e-01 -7.1841919e+02 -3.4918100e+00 4.3320280e+00 2 0 0 0 0 6
-1.61889e-01 -5.32490e-01 -5.7002484e+02 -8.2042000e-01 4.1732820e+00 2 0 0 0 0 4
-2.98254e-01 -5.45952e-01 -4.1028616e+02 -1.8984700e+00 3.5123940e+00 2 0 0 0 0 2
3.58544e-02 -4.79016e-01 -8.6885541e+02 -3.5748700e+00 5.4801600e+00 3 0 0 0 0 6
2.66557e-01 9.82671e-02 -1.0173128e+03 -3.2109500e+00 6.1706370e+00 3 0 0 0 0 8
1.69367e-01 3.80119e-03 -8.7261938e+02 -8.5739000e-01 6.0949320e+00 3 0 0 0 0 6
-1.09415e-01 -4.22123e-01 -7.1691248e+02 -2.0124000e+00 5.5350450e+00 3 0 0 0 0 4
-2.88090e-01 -3.97069e-01 -7.3636371e+02 -3.3735400e+00 4.9847830e+00 2 0 1 0 0 5
-3.14135e-01 -4.12920e-01 -8.8975958e+02 -3.3727500e+00 5.7600870e+00 2 0 1 0 0 7
-2.62941e-01 -4.49541e-01 -6.2825568e+02 -1.1107400e+00 4.4575600e+00 2 0 1 0 0 3
-3.56880e-01 -4.65947e-01 -8.8190588e+02 -3.6933200e+00 5.8049440e+00 2 0 1 0 0 7
1.92773e-01 -5.06217e-01 -6.6784442e+02 -3.0035100e+00 4.3097250e+00 2 1 0 0 0 4
1.81726e-01 -5.09275e-01 -8.2248773e+02 -3.1069400e+00 5.0536220e+00 2 1 0 0 0 6
7.87088e-02 -4.67776e-01 -6.9178845e+02 6.0414000e-01 4.5844320e+00 2 1 0 0 0 4
3.24907e-01 -5.34710e-01 -8.1047968e+02 -3.4442800e+00 5.1160360e+00 2 1 0 0 0 6
2.98177e-01 2.64451e-01 -1.1688906e+03 -3.1431200e+00 7.2807780e+00 4 0 0 0 0 8
2.24463e-01 1.89245e-01 -1.1693745e+03 -3.1177200e+00 7.3512070e+00 4 0 0 0 0 8
2.68854e-01 2.43825e-01 -1.3161769e+03 -3.0471300e+00 8.0269300e+00 4 0 0 0 0 10
2.69619e-01 2.56539e-01 -1.3169514e+03 -2.9309900e+00 8.0094550e+00 4 0 0 0 0 10
1.70480e-01 1.08022e-01 -1.0303788e+03 2.4469000e-01 8.5628590e+00 4 0 0 0 0 6
6.41552e-02 -7.21419e-02 -8.7141626e+02 3.9330000e-02 7.7706830e+00 4 0 0 0 0 4
-2.35017e-01 -4.24953e-01 -7.1538177e+02 -4.8781000e-01 7.5186210e+00 4 0 0 0 0 2
2.07096e-01 1.59385e-01 -1.1745293e+03 -8.7935000e-01 8.0699130e+00 4 0 0 0 0 8
2.26088e-01 1.78866e-01 -1.1750408e+03 -8.6896000e-01 7.9735850e+00 4 0 0 0 0 8
1.86216e-01 7.49935e-02 -1.0222052e+03 -2.0979400e+00 7.6439790e+00 4 0 0 0 0 6
2.01558e-01 1.61431e-01 -1.1711454e+03 -8.4282000e-01 7.9977010e+00 4 0 0 0 0 8
1.49242e-01 6.62362e-02 -1.0153614e+03 -1.9938800e+00 7.4315220e+00 4 0 0 0 0 6
-4.25020e-02 1.67948e-01 -1.0370482e+03 -3.2574700e+00 6.8126810e+00 3 0 1 0 0 7
-4.01635e-02 1.05533e-01 -1.0388326e+03 -3.0184200e+00 6.8717570e+00 3 0 1 0 0 7
-2.35392e-02 2.10764e-01 -1.1885127e+03 -3.1220500e+00 7.5879450e+00 3 0 1 0 0 9
-2.00522e-01 -2.95638e-01 -7.8032983e+02 7.2840000e-01 6.4356650e+00 3 0 1 0 0 3
-3.46507e-01 -4.15854e-01 -6.1977704e+02 3.4727000e-01 6.1475210e+00 3 0 1 0 0 1
-1.12237e-02 1.92594e-01 -1.1905688e+03 -3.0248900e+00 7.5964920e+00 3 0 1 0 0 9
-1.36268e-01 -2.40881e-01 -9.2682233e+02 -1.1146400e+00 6.2931860e+00 3 0 1 0 0 5
-4.90519e-02 2.56669e-01 -1.1825328e+03 -3.3233500e+00 7.6911570e+00 3 0 1 0 0 9
-4.94035e-02 2.14910e-01 -1.0308448e+03 -3.3614600e+00 6.9541180e+00 3 0 1 0 0 7
-2.34481e-01 5.61448e-01 -1.1765881e+03 -3.4965700e+00 7.7582740e+00 3 0 1 0 0 9
-3.38927e-02 1.18328e-01 -1.0430183e+03 -3.5683900e+00 6.9311360e+00 3 0 1 0 0 7
-4.76389e-02 8.56516e-02 -1.0416371e+03 -8.2588000e-01 7.5328050e+00 3 0 1 0 0 7
-2.09600e-01 -2.44293e-01 -8.8506360e+02 -1.9620400e+00 6.9814040e+00 3 0 1 0 0 5
2.90680e-01 -2.69573e-01 -9.6855298e+02 -3.0054600e+00 6.0581540e+00 3 1 0 0 0 6
2.52034e-01 -2.09163e-01 -9.7144513e+02 -2.7372400e+00 6.1634830e+00 3 1 0 0 0 6
3.17877e-01 -1.94964e-01 -1.1212300e+03 -2.8821200e+00 6.8642470e+00 3 1 0 0 0 8
1.09600e-01 -2.60848e-01 -8.4731799e+02 1.4657500e+00 6.5105480e+00 3 1 0 0 0 4
3.16093e-01 -1.58321e-01 -1.1243376e+03 -2.8212900e+00 6.8717740e+00 3 1 0 0 0 8
2.51302e-01 -1.74091e-01 -9.9750110e+02 4.1796000e-01 6.3547600e+00 3 1 0 0 0 6
2.10619e-01 -1.75587e-01 -9.9011884e+02 5.8889000e-01 6.3763570e+00 3 1 0 0 0 6
3.67453e-01 -3.51211e-01 -1.1124731e+03 -3.1842200e+00 7.0039550e+00 3 1 0 0 0 8
2.58989e-01 -3.21973e-01 -9.6984735e+02 -7.9841000e-01 7.0655530e+00 3 1 0 0 0 6
2.63027e-01 -1.94333e-01 -9.7410162e+02 -3.1013400e+00 6.2107760e+00 3 1 0 0 0 6
-1.37830e-02 -4.23145e-01 -6.8305804e+02 1.4476700e+00 5.9066780e+00 3 1 0 0 0 2
2.02554e-01 -2.25913e-01 -9.7454517e+02 -7.4467000e-01 6.8477340e+00 3 1 0 0 0 6
6.24657e-02 -3.83123e-01 -8.1560541e+02 -1.8786900e+00 6.3125890e+00 3 1 0 0 0 4
-9.47549e-02 -3.85111e-01 -8.3667859e+02 8.4730000e-02 6.3274680e+00 2 1 1 0 0 5
-1.02833e-01 -3.76276e-01 -8.9003174e+02 7.0800000e-02 5.9185800e+00 2 1 1 0 0 5
-1.05507e-01 -4.12619e-01 -8.7823438e+02 1.6892000e-01 6.0288080e+00 2 1 1 0 0 5
6.33964e-02 -5.05248e-01 -8.2202911e+02 1.6954000e-01 6.4326790e+00 2 1 1 0 0 5
-7.92056e-03 -4.51183e-01 -9.9302814e+02 -2.9985100e+00 6.4298060e+00 2 1 1 0 0 7
3.81666e-01 4.32752e-01 -1.4871941e+03 -3.0774800e+00 8.9486220e+00 5 0 0 0 0 10
3.30780e-01 3.48894e-01 -1.4697889e+03 -3.0626200e+00 9.2544240e+00 5 0 0 0 0 10
3.43482e-01 3.78512e-01 -1.4698795e+03 -2.9105300e+00 9.1647080e+00 5 0 0 0 0 10
3.43018e-01 3.70759e-01 -1.4700648e+03 -2.7708700e+00 9.2349600e+00 5 0 0 0 0 10
3.36125e-01 3.64299e-01 -1.4682113e+03 -2.9343000e+00 9.1964890e+00 5 0 0 0 0 10
3.63047e-01 4.23409e-01 -1.6149651e+03 -2.9395500e+00 9.8989070e+00 5 0 0 0 0 12
3.74108e-01 4.65488e-01 -1.6165503e+03 -2.6366500e+00 9.8216530e+00 5 0 0 0 0 12
3.44197e-01 4.06300e-01 -1.6149232e+03 -2.8195900e+00 9.8053380e+00 5 0 0 0 0 12
3.34891e-01 3.06913e-01 -1.2085522e+03 -1.2573000e-01 8.6744850e+00 5 0 0 0 0 6
3.39981e-01 3.39954e-01 -1.3463767e+03 -8.4934000e-01 8.8106030e+00 5 0 0 0 0 8
3.10279e-01 3.05336e-01 -1.3231598e+03 -7.7636000e-01 9.1348860e+00 5 0 0 0 0 8
2.59702e-01 2.17009e-01 -1.1678287e+03 -1.8875100e+00 8.8272530e+00 5 0 0 0 0 6
3.08165e-01 3.01220e-01 -1.3247668e+03 -6.1513000e-01 9.9216140e+00 5 0 0 0 0 8
2.36590e-01 1.95317e-01 -1.1678490e+03 -5.9234000e-01 9.2531740e+00 5 0 0 0 0 6
2.64609e-01 1.65250e-01 -1.0089649e+03 -1.5855900e+00 8.6025970e+00 5 0 0 0 0 4
3.22538e-01 3.40243e-01 -1.4743220e+03 -8.4809000e-01 9.8812490e+00 5 0 0 0 0 10
2.94456e-01 2.78536e-01 -1.3329193e+03 1.9476000e-01 1.0813755e+01 5 0 0 0 0 8
2.37140e-01 1.88927e-01 -1.1745116e+03 -1.5990000e-02 1.0000654e+01 5 0 0 0 0 6
2.92105e-01 2.82829e-01 -1.3320941e+03 1.9423000e-01 1.0234417e+01 5 0 0 0 0 8
2.42411e-01 1.92059e-01 -1.1734929e+03 -5.7370000e-02 9.5847580e+00 5 0 0 0 0 6
3.13448e-01 3.32991e-01 -1.4704617e+03 -8.3436000e-01 9.8547210e+00 5 0 0 0 0 10
2.57303e-01 2.34082e-01 -1.3144752e+03 -1.9692700e+00 9.2907780e+00 5 0 0 0 0 8
2.56987e-01 1.91283e-01 -1.1775754e+03 -7.2840000e-02 1.0175359e+01 5 0 0 0 0 6
2.64056e-01 1.37197e-01 -1.0228885e+03 -6.1851000e-01 1.0059005e+01 5 0 0 0 0 4
3.23405e-01 3.30937e-01 -1.4730604e+03 -8.6419000e-01 1.0010429e+01 5 0 0 0 0 10
3.15473e-01 3.34414e-01 -1.4728146e+03 -8.5154000e-01 9.7789220e+00 5 0 0 0 0 10
2.88908e-01 2.46507e-01 -1.3206385e+03 -2.0760400e+00 9.5877280e+00 5 0 0 0 0 8
3.22697e-01 3.41437e-01 -1.4700328e+03 -8.2208000e-01 9.8953290e+00 5 0 0 0 0 10
2.55979e-01 2.37246e-01 -1.3144033e+03 -1.9786600e+00 9.3510010e+00 5 0 0 0 0 8
-4.38768e-03 2.58669e-01 -1.3556882e+03 -3.1213000e+00 8.5748390e+00 4 0 1 0 0 9
-8.83775e-02 4.17365e-02 -1.1035851e+03 -5.2278000e-01 8.1507720e+00 4 0 1 0 0 5
-2.59896e-02 1.49200e-01 -1.2129823e+03 -8.0932000e-01 8.3275030e+00 4 0 1 0 0 7
7.86668e-03 2.06049e-01 -1.3414305e+03 -2.9662100e+00 8.8221640e+00 4 0 1 0 0 9
-8.56004e-03 2.19297e-01 -1.3398518e+03 -3.0198600e+00 8.7349200e+00 4 0 1 0 0 9
5.74621e-03 2.16109e-01 -1.3404551e+03 -2.6708600e+00 8.6892050e+00 4 0 1 0 0 9
-1.45963e-02 2.48943e-01 -1.3331592e+03 -3.0087900e+00 8.8895410e+00 4 0 1 0 0 9
1.08105e-03 2.25124e-01 -1.3372694e+03 -2.9654100e+00 8.6245750e+00 4 0 1 0 0 9
-1.31929e-03 2.05961e-01 -1.3407898e+03 -2.8880800e+00 8.7588840e+00 4 0 1 0 0 9
1.60806e-02 2.22281e-01 -1.3426154e+03 -2.9414700e+00 8.8115670e+00 4 0 1 0 0 9
-3.23899e-03 2.11582e-01 -1.3375615e+03 -2.8532700e+00 8.6962940e+00 4 0 1 0 0 9
-2.43214e-02 1.43359e-01 -1.1930728e+03 -6.5822000e-01 8.9067870e+00 4 0 1 0 0 7
-7.30418e-02 3.11075e-02 -1.0338625e+03 -1.7681100e+00 8.3074270e+00 4 0 1 0 0 5
1.58903e-02 3.08116e-01 -1.4872172e+03 -2.9758400e+00 9.4547380e+00 4 0 1 0 0 11
8.74519e-03 5.92671e-02 -1.0787180e+03 -2.0947000e-01 8.0823490e+00 4 0 1 0 0 5
-1.54324e-01 -1.95437e-01 -9.1855896e+02 -8.0972000e-01 7.4881910e+00 4 0 1 0 0 3
2.44972e-03 1.93500e-01 -1.3454734e+03 -8.3439000e-01 9.5814340e+00 4 0 1 0 0 9
